"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"225","ojacob2","isds1102spr19","ojacob2_e3b_1553540840210.xlsx","2019-03-25 19:07:46","e3","b","56.3333333333","e3b"
"226","ojacob2","isds1102spr19","ojacob2_e3c_1553541079119.xlsx","2019-03-25 19:11:44","e3","c","75.0","e3c"
"227","ojacob2","isds1102spr19","ojacob2_e3d_1553541985533.xlsx","2019-03-25 19:26:51","e3","d","98.6928104575","e3d"
"228","sostra1","isds1102spr19","sostra1_e1a_1553240674059.xlsx","2019-03-22 07:44:59","e1","a","100.0","e1a"
"229","sostra1","isds1102spr19","sostra1_e1a_1553240741316.xlsx","2019-03-22 07:46:05","e1","a","100.0","e1a"
"230","rtafar1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"231","bburk25","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"232","mmuril5","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"233","emaheu1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"234","pstpau1","isds1102spr19","pstpau1_e1a_1553021331168.xlsx","2019-03-19 18:49:47","e1","a","93.75","e1a"
"235","pstpau1","isds1102spr19","pstpau1_e1a_1553021519451.xlsx","2019-03-19 18:52:56","e1","a","87.5","e1a"
"236","pstpau1","isds1102spr19","pstpau1_e1b_1553021748390.xlsx","2019-03-19 18:56:45","e1","b","87.5","e1b"
"237","pstpau1","isds1102spr19","pstpau1_e1d_1553103631286.xlsx","2019-03-20 17:40:55","e1","d","66.6666666667","e1d"
"238","pstpau1","isds1102spr19","pstpau1_e1c_1553103674937.xlsx","2019-03-20 17:41:39","e1","c","0.0","e1c"
"239","pstpau1","isds1102spr19","pstpau1_e1b_1553103709693.xlsx","2019-03-20 17:42:45","e1","b","87.5","e1b"
"240","pstpau1","isds1102spr19","pstpau1_e1c_1553103770500.xlsx","2019-03-20 17:43:16","e1","c","0.0","e1c"
"241","pstpau1","isds1102spr19","pstpau1_e1d_1553103774934.xlsx","2019-03-20 17:43:19","e1","d","66.6666666667","e1d"
"242","pstpau1","isds1102spr19","pstpau1_e1a_1553103755876.xlsx","2019-03-20 17:43:31","e1","a","87.5","e1a"
"243","pstpau1","isds1102spr19","pstpau1_e1b_1553103764742.xlsx","2019-03-20 17:43:40","e1","b","87.5","e1b"
"244","ntran42","isds1102spr19","ntran42_e1a_1553142032739.xlsx","2019-03-21 04:20:56","e1","a","81.25","e1a"
"245","ntran42","isds1102spr19","ntran42_e1b_1553142365565.xlsx","2019-03-21 04:26:29","e1","b","81.25","e1b"
"246","ntran42","isds1102spr19","ntran42_e1a_1553470396617.xlsx","2019-03-24 23:33:42","e1","a","96.5","e1a"
"247","ntran42","isds1102spr19","ntran42_e1b_1553470882684.xlsx","2019-03-24 23:41:48","e1","b","100.0","e1b"
"248","ntran42","isds1102spr19","ntran42_e1c_1553471454001.xlsx","2019-03-24 23:51:19","e1","c","90.8333333333","e1c"
"249","ntran42","isds1102spr19","ntran42_e1d_1553479638136.xlsx","2019-03-25 02:07:43","e1","d","100.0","e1d"
"250","mthibe4","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"251","mhono11","isds1102s4workspace","mhono11_e1a_1552928214869.xlsx","2019-03-18 16:57:18","e1","a","100.0","e1a"
"252","mhono11","isds1102s4workspace","mhono11_e1b_1553098097562.xlsx","2019-03-20 16:08:42","e1","b","93.75","e1b"
"253","mhono11","isds1102s4workspace","mhono11_e1b_1553484468594.xlsx","2019-03-25 03:28:14","e1","b","100.0","e1b"
"254","lfost38","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"255","divwur1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"256","sschau7","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"257","cburn42","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"258","crobbi6","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"259","nto1","isds1102spr19","nto1_e1b_1553137561129.xlsx","2019-03-21 03:06:25","e1","b","100.0","e1b"
"260","nto1","isds1102spr19","nto1_e1c_1553138574590.xlsx","2019-03-21 03:23:19","e1","c","73.3333333333","e1c"
"261","nto1","isds1102spr19","nto1_e1d_1553139516984.xlsx","2019-03-21 03:39:01","e1","d","100.0","e1d"
"262","nto1","isds1102spr19","nto1_e1a_1553139573156.xlsx","2019-03-21 03:39:57","e1","a","100.0","e1a"
"263","nto1","isds1102spr19","nto1_e2a_1553366508436.xlsx","2019-03-23 18:42:13","e2","a","100.0","e2a"
"264","tpham91","isds1102spr19","tpham91_e1a_1553035516028.xlsx","2019-03-19 22:45:40","e1","a","96.5","e1a"
"265","tpham91","isds1102spr19","tpham91_e1a_1553035672387.xlsx","2019-03-19 22:48:16","e1","a","96.5","e1a"
"266","tpham91","isds1102spr19","tpham91_e1b_1553035692577.xlsx","2019-03-19 22:48:36","e1","b","100.0","e1b"
"267","tpham91","isds1102spr19","tpham91_e1a_1553035758917.xlsx","2019-03-19 22:49:42","e1","a","96.5","e1a"
"268","tpham91","isds1102spr19","tpham91_e1b_1553036502061.xlsx","2019-03-19 23:02:06","e1","b","100.0","e1b"
"269","tpham91","isds1102spr19","tpham91_e1a_1553050678173.xlsx","2019-03-20 02:58:23","e1","a","96.5","e1a"
"270","tpham91","isds1102spr19","tpham91_e1b_1553050694662.xlsx","2019-03-20 02:58:38","e1","b","100.0","e1b"
"271","tpham91","isds1102spr19","tpham91_e1c_1553050701069.xlsx","2019-03-20 02:58:44","e1","c","70.8333333333","e1c"
"272","tpham91","isds1102spr19","tpham91_e1d_1553050705635.xlsx","2019-03-20 02:58:49","e1","d","100.0","e1d"
"273","jmath56","isds1102spr19","jmath56_e1a_1547699044883.xlsx","2019-01-17 04:24:11","e1","a","92.0","e1a"
"274","jmath56","isds1102spr19","jmath56_e1b_1547699631019.xlsx","2019-01-17 04:33:55","e1","b","93.75","e1b"
"275","jmath56","isds1102spr19","jmath56_e1b_1547924230220.xlsx","2019-01-19 18:57:15","e1","b","93.75","e1b"
"276","aperk51","isds1102spr19","aperk51_e1a_1553264678214.xlsx","2019-03-22 14:25:02","e1","a","84.0","e1a"
"277","aperk51","isds1102spr19","aperk51_e1b_1553264975793.xlsx","2019-03-22 14:30:00","e1","b","87.5","e1b"
"278","aperk51","isds1102spr19","aperk51_e1c_1553269467384.xlsx","2019-03-22 15:44:52","e1","c","90.8333333333","e1c"
"279","rsider1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"280","ewesle2","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"281","jskill2","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"282","kgarc28","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"283","angu196","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"284","jmorg82","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"285","slynch5","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
